DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000081910,P_0000036214,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 6: 601-1000
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000032413,P_0000036222,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000025231,P_0000036256,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
PACIFIC,PACIFIC,M_0000002458,P_0000036536,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,CATEGORY 1: 0-50
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000019678,P_0000036601,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000091849,P_0000037012,REHABILITATION CENTER,SKILLED NURSING,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000080224,P_0000037191,NON HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000007348,P_0000037223,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,CATEGORY 7: 1001+
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021604,P_0000037341,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
MOUNTAIN,MOUNTAIN,M_0000080134,P_0000037342,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 3: 101-200
MOUNTAIN,MOUNTAIN,M_0000080239,P_0000037342,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000000958,P_0000037395,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,CATEGORY 5: 401-600
WEST NORTH CENTRAL,WEST NORTH CENTRAL,M_0000004399,P_0000037633,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038233,P_0000037661,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 4: 201-400
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038299,P_0000037661,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 4: 201-400
MOUNTAIN,MOUNTAIN,M_0000080134,P_0000037816,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 5: 401-600
MOUNTAIN,MOUNTAIN,M_0000080227,P_0000037816,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000012826,P_0000037862,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000021124,P_0000037901,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000021367,P_0000038018,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,CATEGORY 5: 401-600
MOUNTAIN,MOUNTAIN,M_0000080200,P_0000038465,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
MOUNTAIN,MOUNTAIN,M_0000080134,P_0000038488,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 2: 51-100
MOUNTAIN,MOUNTAIN,M_0000080170,P_0000038488,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000034525,P_0000038610,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000009586,P_0000038747,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000015727,P_0000038747,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000015742,P_0000038747,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000080134,P_0000039274,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 2: 51-100
MOUNTAIN,MOUNTAIN,M_0000080173,P_0000039274,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000005482,P_0000039639,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,CATEGORY 4: 201-400
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000033868,P_0000039639,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000024823,P_0000039852,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
MOUNTAIN,MOUNTAIN,M_0000080257,P_0000040052,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
MOUNTAIN,MOUNTAIN,M_0000080134,P_0000040075,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 1: 0-50
MOUNTAIN,MOUNTAIN,M_0000080203,P_0000040075,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038296,P_0000040110,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
NEW ENGLAND,MIDDLE ATLANTIC,M_0000025588,P_0000040124,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000021559,P_0000040439,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
NEW ENGLAND,NEW ENGLAND,M_0000025270,P_0000040490,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000025162,P_0000040863,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 5: 401-600
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000007069,P_0000040885,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000090748,P_0000041041,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000090733,P_0000041294,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020962,P_0000041463,SURGI CENTER,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000036562,P_0000041493,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
PACIFIC,PACIFIC,M_0000036565,P_0000041493,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 5: 401-600
PACIFIC,PACIFIC,M_0000036580,P_0000041493,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 5: 401-600
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000090763,P_0000042162,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,CATEGORY 5: 401-600
MOUNTAIN,AGGREGATED,M_0000080137,P_0000042191,MEDICAL GROUP,FIRST RESPONDER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000014524,P_0000042360,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000038083,P_0000042603,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000002518,P_0000043099,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000016381,P_0000043615,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,CATEGORY 5: 401-600
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020476,P_0000043615,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,CATEGORY 5: 401-600
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043438,P_0000043695,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088540,P_0000044005,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000084106,P_0000044227,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000096433,P_0000044257,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088291,P_0000044594,CLINIC,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020527,P_0000044623,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000087997,P_0000044635,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088645,P_0000044635,CLINIC,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020515,P_0000044747,MEDICAL GROUP,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000001969,P_0000044810,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088318,P_0000044831,NON HOSPITAL,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000084136,P_0000044889,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,CATEGORY 6: 601-1000
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000084139,P_0000044985,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000087961,P_0000044985,MEDICAL GROUP,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043447,P_0000045103,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020458,P_0000045294,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 3: 101-200
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020749,P_0000045539,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043516,P_0000045618,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000007612,P_0000045742,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043474,P_0000045756,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 6: 601-1000
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043441,P_0000045914,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043528,P_0000045926,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 6: 601-1000
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043501,P_0000046046,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088078,P_0000046063,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043408,P_0000046088,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000037768,P_0000046317,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 3: 101-200,CATEGORY 6: 601-1000
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000011530,P_0000046324,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088303,P_0000046434,HOME HEALTH AGENCY,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000038095,P_0000046718,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016465,P_0000047207,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088591,P_0000047208,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000053653,P_0000047249,SURGI CENTER,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000087970,P_0000047399,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088522,P_0000047440,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043498,P_0000047639,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043477,P_0000047670,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088555,P_0000047712,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088102,P_0000047730,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016432,P_0000047749,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 1: 0-50
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000088048,P_0000047769,MEDICAL GROUP,PHARMACY,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000002476,P_0000048097,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 1: 0-50
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016138,P_0000048917,NON HOSPITAL,FREESTANDING HEALTHCARE LAB,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,AGGREGATED,M_0000017206,P_0000049669,MEDICAL GROUP,HEALTHCARE WAREHOUSE/SUPPLYCTR,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000029758,P_0000051242,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020989,P_0000053303,MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000072160,P_0000053976,MEDICAL GROUP,COMMUNITY HEALTH CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000010975,P_0000054659,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000020854,P_0000055799,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020407,P_0000056304,NON HOSPITAL,PHYSICIAN(S),CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
PACIFIC,PACIFIC,M_0000027349,P_0000056923,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006166,P_0000059642,HOSPITAL,PHYSICIAN(S),CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000016447,P_0000060703,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 1: 0-50
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000095434,P_0000061252,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 3: 101-200
NEW ENGLAND,NEW ENGLAND,M_0000033349,P_0000062522,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000007990,P_0000063113,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
MOUNTAIN,MOUNTAIN,M_0000006814,P_0000063653,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
MOUNTAIN,MOUNTAIN,M_0000056977,P_0000063695,CLINIC,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000084061,P_0000063695,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000084091,P_0000063695,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000053059,P_0000063723,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
NEW ENGLAND,NEW ENGLAND,M_0000004792,P_0000064931,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000026593,P_0000065234,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,CATEGORY 5: 401-600
EAST SOUTH CENTRAL,SOUTH ATLANTIC,M_0000020779,P_0000065792,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000089065,P_0000072222,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000079186,P_0000074373,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 3: 101-200
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000079186,P_0000074404,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,CATEGORY 3: 101-200
PACIFIC,PACIFIC,M_0000029761,P_0000075839,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 3: 101-200
WEST SOUTH CENTRAL,WEST SOUTH CENTRAL,M_0000043531,P_0000076525,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,CATEGORY 4: 201-400
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000020422,P_0000077862,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000000529,P_0000082109,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,CATEGORY 4: 201-400
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000082421,NON HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,CATEGORY 4: 201-400
PACIFIC,PACIFIC,M_0000025879,P_0000082430,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000033055,P_0000082508,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000070420,P_0000082594,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000080134,P_0000083622,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,CATEGORY 2: 51-100
MOUNTAIN,MOUNTAIN,M_0000080254,P_0000083622,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,CATEGORY 2: 51-100
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000013495,P_0000084937,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000084937,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,CATEGORY 1: 0-50
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000085129,NON HOSPITAL,HEALTHCARE WAREHOUSE/SUPPLYCTR,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000085162,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000085217,NON HOSPITAL,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000085238,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000085274,NON HOSPITAL,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000084661,P_0000085287,NON HOSPITAL,AMBULATORY CARE CENTER,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053518,P_0000089215,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 7: 1001+,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000097126,P_0000089215,UNKNOWN,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
SOUTH ATLANTIC,SOUTH ATLANTIC,M_0000006310,P_0000089443,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,NON-ACUTE/UNKNOWN
MOUNTAIN,MOUNTAIN,M_0000053122,P_0000089594,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,NON-ACUTE/UNKNOWN
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000034540,P_0000090881,NON HOSPITAL,OTHER HOSPITAL,CATEGORY 1: 0-50,NON-ACUTE/UNKNOWN
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000053557,P_0000090988,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,NON-ACUTE/UNKNOWN
